"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05501834","Anxiety Surrounding Supracondylar Pin Removal in Children: A Randomized Controlled Trial",,"Not yet recruiting","No Results Available","Supracondylar Humerus Fracture|Anxiety","Other: Supracondylar Pin Removal Before Imaging","Face, Legs, Activity, Cry and Consolability (FLACC) scale|Heart rate|Spielberger State-Trait Anxiety Inventory (STAI-5)","Boston Children's Hospital","All","3 Years to 8 Years   (Child)","Not Applicable","68","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-P00039559","September 1, 2022","September 1, 2023","January 1, 2024","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501834"
2,"NCT05501821","Study of KBA1412 in Participants With Advanced Solid Malignant Tumors",,"Recruiting","No Results Available","Advanced Solid Tumor Malignancy","Drug: KBA1412|Drug: Pembrolizumab","Part A & B & C: Frequency and severity of AEs as assessed by CTCAE v5.0|Part A: Frequency and type of DLT s using the CTCAE v5.0|Number of participants with an antitumor response to KBA1412 monotherapy (Part B) or to KBA1412 in combination with pembrolizumab (Part C)|Part A: Number of participants with an antitumor response to KBA1412 monotherapy|Pharmacokinetic of KBA1412 monotherapy (Part A & B) and KBA1412 in combination with pembrolizumab (Part C), area under the concentration versus time curve (AUC)|Incidence and prevalence of anti-KBA1412 antibodies for KBA1412 monotherapy (Part A & B) and KBA1412 in combination with pembrolizumab (Part C)|Change in biomarkers for KBA1412 monotherapy (Part A & B) and KBA1412 in combination with pembrolizumab (Part C) pre- and post-dose in tumor tissue","Kling Biotherapeutics B.V.","All","18 Years and older   (Adult, Older Adult)","Phase 1","106","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KBA1412-101","August 2022","January 2025","January 2025","August 15, 2022",,"August 15, 2022","University Hospital Ghent, Ghent, Belgium",,"https://ClinicalTrials.gov/show/NCT05501821"
3,"NCT05501808","Color Stability of Two Different Resin Matrix Ceramics: Randomized Clinical Trial.",,"Completed","No Results Available","Dental Restoration","Procedure: cerasmart|Procedure: enamic","color change|patient satisfaction","Fayoum University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","102","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","COST 315","June 1, 2021","June 1, 2022","August 1, 2022","August 15, 2022",,"August 15, 2022","Faculty of Dentistry- Fayoum University, Fayoum, Egypt",,"https://ClinicalTrials.gov/show/NCT05501808"
4,"NCT05501795","The Accuracy of Flap Thickness Versus the Pre-determined Surgical Planning Using WaveLight® FS200",,"Recruiting","No Results Available","Myopia","Device: WaveLight® FS200 femtosecond laser","The resultant thickness of the FS200 created LASIK flap compared to plan at the surgical visit.|The resultant diameter of the FS200 created LASIK flap compared to plan|Pre-operative Pachymetry as measured by the EX500 versus the Oculus Pentacam","Stephen Wexler|Sengi|Bismarck Lasik","All","18 Years and older   (Adult, Older Adult)",,"55","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SW-22-001","August 9, 2022","August 2023","August 2023","August 15, 2022",,"August 15, 2022","Bismarck Lasik, Bismarck, North Dakota, United States",,"https://ClinicalTrials.gov/show/NCT05501795"
5,"NCT05501782","Evaluation of Intuitive Eating and Hedonic Hunger in University Students",,"Not yet recruiting","No Results Available","INTUITIVE EATING|Hedonic Hunger","Other: questionnaire","Intuitive eating scale (IES-2)|Power of food scale (PFS)|Food Craving Questionnaire (FCQ)|Pittsburg Sleep Quality Scale (PUKI)|Warwick-Edinburgh Mental Well-Being Scale (WEMWBS)","Istanbul Medeniyet University","All","18 Years to 36 Years   (Adult)",,"100","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Prospective","2022/0145","September 1, 2022","December 1, 2022","December 1, 2022","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501782"
6,"NCT05501769","ARV-471 in Combination With Everolimus for the Treatment of Advanced or Metastatic ER+, HER2- Breast Cancer",,"Not yet recruiting","No Results Available","Breast Cancer","Drug: ARV-471 in combination with Everolimus","Incidence of dose limiting toxicities of ARV-471 in combination with everolimus|Recommended Phase 2 Dose (RP2D) for ARV-471 in combination with everolimus|Number of participants with adverse events as a measure of safety and tolerability of ARV-471 in combination with everolimus|Incidence of laboratory abnormalities as a measure of safety and tolerability of ARV-471 in combination with everolimus|Overall response rate (ORR) in participants|Clinical benefit rate (CBR) in participants|Duration of response (DOR) in participants|Maximum plasma concentrations (Cmax) of ARV-471 and everolimus|Time to maximum plasma concentrations (Tmax) of ARV-471 and everolimus|Area under the concentration-time curve over 24 hours at steady state (AUC(0-24)) of ARV-471 and everolimus","Arvinas Estrogen Receptor, Inc.|Pfizer|Arvinas Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","32","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ARV-471-mBC-102","August 2022","August 2023","February 2024","August 15, 2022",,"August 15, 2022","Clinical Trial Site, San Diego, California, United States|Clinical Trial Site, Santa Monica, California, United States|Clinical Trial Site, Lake Mary, Florida, United States|Clinical Trial Site, Ann Arbor, Michigan, United States|Clinical Trial Site, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT05501769"
7,"NCT05501756","Precision Alemtuzumab Dosing for Allogeneic Hematopoietic Cell Transplantation",,"Not yet recruiting","No Results Available","Allogeneic Hematopoietic Cell Transplantation","Drug: Alemtuzumab","Alemtuzumab levels|CD4+ T cell count","Children's Hospital Medical Center, Cincinnati","All","6 Weeks to 30 Years   (Child, Adult)","Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2022-0447","September 2022","September 2027","January 2028","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501756"
8,"NCT05501743","Evaluation of the Efficacy of an Intra-articular Injection of Autologous Microfat Combined With Autologous Platelet-enriched Plasma in the Treatment of Radiocarpal Osteoarthritis: a Randomized Controlled Non-inferiority Trial Versus Total Wrist Denervation (Established Standard Treatment).","AMIPREP-2","Not yet recruiting","No Results Available","Arthrosis","Drug: Intra-articular injection of microfat and PRP|Procedure: Total denervation of the wrist","Pain intensity measured on the visual analog scale (EVA)|Combined assessment of function and pain by the PRWE score|Assessment of upper limb function by the DASH score|Assessment of wrist strength by dynamometry|Measurement of wrist joint amplitudes|Overall change perceived by the patient|Patient satisfaction|MRI evaluation of cartilage lesions in the ""study treatment"" group","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)","Phase 2","36","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2021-006817-12","September 2022","September 2025","March 2026","August 15, 2022",,"August 15, 2022","Assistance Publique Hôpitaux Marseille, Marseille, Bouches-du-Rhône, France",,"https://ClinicalTrials.gov/show/NCT05501743"
9,"NCT05501730","Use of the Quantra QPlus Sytem in Cardiac Surgery",,"Completed","No Results Available","Cardiovascular Diseases","Diagnostic Test: Quantra QPlus System","Blood product utilization|Cost of blood products","HemoSonics LLC","All","18 Years and older   (Adult, Older Adult)",,"128","Industry","Observational","Observational Model: Other|Time Perspective: Retrospective","HEMCS-038","June 15, 2021","November 21, 2021","December 15, 2021","August 15, 2022",,"August 15, 2022","Yavapai Regional Medical Center, Prescott, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT05501730"
10,"NCT05501717","Safety, PK/PD, and Immunogenicity Study of SC ALXN2030 in Healthy Participants",,"Not yet recruiting","No Results Available","Healthy","Drug: ALXN2030|Drug: Placebo","Number of Participants With Treatment-Emergent Adverse Events (TEAEs) and Treatment-Emergent Serious Adverse Events (TESAEs)|Maximum Observed Plasma Concentration (Cmax)|Time to Maximum Observed Plasma Concentration (Tmax)|Area Under the Plasma Concentration Versus Time Curve From Time 0 (Dosing) to the Last Quantifiable Concentration (AUCt)|Change from Baseline in Plasma Concentration of Complement Component 3 (C3) Protein|Change from Baseline in Serum Complement Functional Activity|Number of Participants With Treatment-Emergent Antidrug Antibodies (ADAs)","Alexion Pharmaceuticals","All","18 Years to 60 Years   (Adult)","Phase 1","48","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ALXN2030-HV-101","August 16, 2022","July 4, 2023","July 4, 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501717"
